pincode,district_name,state_name,serviceable,city_name,city_lat,city_long,pincode_lat,pincode_long
133302,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.856956800000003,76.9066829
134101,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.794307300000003,76.9009191
134102,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.751144899999996,76.97582740000001
134103,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.658432799999996,76.95278359999999
134104,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.807950599999998,76.92397270000001
134105,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.702486100000005,76.7921156
134107,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.741739799999998,76.8836261
134108,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.690499199999998,76.85191590000001
134109,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.7039849,76.9009191
134112,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.6753287,76.8692134
134113,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.678613399999996,76.84614959999999
134114,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.7193224,76.857682
134116,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.6475006,76.9009191
134117,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.666644800000004,76.8533575
134118,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.543043100000006,76.9297354
134204,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.5749958,77.0219019
134205,Panchkula,HARYANA,1,Panchkula,30.694209100000002,76.86056500000001,30.637334499999998,77.0794705
140103,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.843563899999996,76.5603828
140103,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.843563899999996,76.5603828
140109,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.9031593,76.6990172
140110,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.833115000000003,76.675922
140112,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.8690201,76.37530459999999
140413,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.753362300000003,76.5603828
140413,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.753362300000003,76.5603828
140413,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.753362300000003,76.5603828
140501,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.4681308,76.86056500000001
140507,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.583575300000003,76.8836261
140507,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.583575300000003,76.8836261
140604,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.662501799999998,76.8129878
140901,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.8177598,76.745195
140901,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.8177598,76.745195
160059,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.7191317,76.720616
160059,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.7191317,76.720616
160062,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.6836658,76.7307663
160062,Mohali,PUNJAB,1,Mohali,30.704648600000002,76.71787259999999,30.6836658,76.7307663
