pincode,district_name,state_name,serviceable,city_name,city_lat,city_long
122103,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122104,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122105,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122107,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122108,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122413,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122414,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122502,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122503,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122504,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122505,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122506,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122508,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
123106,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
123413,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
121001,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121002,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121003,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121004,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121005,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121006,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121007,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121008,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121009,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121010,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121012,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121013,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121014,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121015,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121101,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121102,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121103,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121105,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121106,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
121107,Faridabad,HARYANA,1,Faridabad,28.4089123,77.3177894
133301,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
133302,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134101,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134102,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134103,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134104,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134105,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134107,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134108,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134109,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134112,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134113,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134114,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134116,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134117,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134118,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134204,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
134205,Panchkula,HARYANA,1,Panchkula,30.6942091,76.860565
140103,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999999
140109,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999999
140110,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999999
140112,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999999
140413,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999999
140501,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999999
140507,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999999
140604,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999999
140901,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999999
160059,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999999
160062,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999999
160071,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999999
160103,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999999
160104,Mohali,PUNJAB,1,Mohali,30.7046486,76.71787259999999
140119,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
140125,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
140133,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
140603,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160001,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160002,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160003,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160004,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160005,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160009,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160011,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160012,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160014,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160015,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160016,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160017,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160018,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160019,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160020,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160022,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160023,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160025,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160030,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160036,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160039,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160043,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160047,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160101,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
160102,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179
201001,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201002,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201003,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
