,actor,applicationid,from_status,substatuses,userid
949,prashanth.eswaramoorti,48107,INITIATED,"[""FOIR""]",375114
950,anurag.prateek,48129,CREDIT_PENDING,"[""FOIR""]",454836
951,aparajita.bariyar,48155,INITIATED,"[""FOIR""]",455035
952,prashanth.eswaramoorti,48175,INITIATED,"[""FOIR""]",300771
953,chandrakala.nb,48176,INITIATED,"[""FOIR"", ""OVERDUES""]",402475
954,siddharthan.l,48193,INITIATED,"[""FOIR""]",449898
955,avijit.mohanty,48197,CREDIT_PENDING,"[""FOIR""]",237365
956,siddharthan.l,48198,INITIATED,"[""FOIR""]",268020
957,siddharthan.l,48230,INITIATED,"[""FOIR""]",456178
958,siddharthan.l,48241,INITIATED,"[""FOIR""]",318810
959,shreyas.r,48256,INITIATED,"[""MCA_NOT_FOUND""]",444673
960,shreyas.r,48259,INITIATED,"[""FOIR""]",212384
961,shreyas.r,48266,INITIATED,"[""FOIR""]",57861
962,shreyas.r,48267,INITIATED,"[""FOIR""]",455603
963,shreyas.r,48271,INITIATED,"[""FOIR""]",411148
964,avijit.mohanty,48282,INITIATED,"[""FOIR""]",457065
965,avijit.mohanty,48289,INITIATED,"[""FOIR""]",99952
966,saurabh.singh,48290,INITIATED,"[""FOIR""]",209092
967,chandrakala.nb,48295,INITIATED,"[""FOIR"", ""CHEQUE_BOUNCES""]",402634
968,chandrakala.nb,48297,INITIATED,"[""FOIR""]",454049
969,chandrakala.nb,48298,INITIATED,"[""FOIR""]",435860
970,chandrakala.nb,48299,INITIATED,"[""LLP_AND_PARTNERSHIP""]",424325
971,lakshmidevi.m,48317,INITIATED,"[""FOIR""]",457461
972,lakshmidevi.m,48326,INITIATED,"[""FOIR""]",409725
973,lakshmidevi.m,48328,INITIATED,"[""MCA_NOT_FOUND""]",450897
974,lakshmidevi.m,48335,INITIATED,"[""MCA_NOT_FOUND""]",365031
975,lakshmidevi.m,48344,INITIATED,"[""FOIR""]",457489
976,lakshmidevi.m,48345,INITIATED,"[""MCA_NOT_FOUND""]",403586
977,namra.ruknuddin,48363,CREDIT_PENDING,"[""FOIR""]",457754
978,vineeth.s,48379,INITIATED,"[""MCA_NOT_FOUND""]",311611
979,namra.ruknuddin,48384,CREDIT_PENDING,"[""FOIR""]",451353
