,pincode,district_name,state_name,serviceable,city_name,city_lat,city_long,pincode_lat,pincode_long,distance
953,412103,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.1029067,74.39393390000002,73.0
954,412103,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.1029067,74.39393390000002,73.0
982,412203,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.5056718,74.3822058,55.0
983,412203,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.5056718,74.3822058,55.0
984,412203,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.5056718,74.3822058,55.0
985,412204,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.3171216,74.3352858,55.0
986,412204,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.3171216,74.3352858,55.0
995,412210,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.6943829,74.4291135,63.0
996,412210,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.6943829,74.4291135,63.0
997,412211,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.5980272,74.3822058,56.0
998,412211,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.5980272,74.3822058,56.0
1005,412215,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.0853598,73.6418473,53.0
1006,412215,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.0853598,73.6418473,53.0
1009,412218,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.8590838,74.19445290000002,51.0
1010,412218,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.8590838,74.19445290000002,51.0
1011,412219,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.4211781,74.4760088,66.0
1012,412219,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.4211781,74.4760088,66.0
1019,412304,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.2248651,74.3352858,60.0
1020,412304,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.2248651,74.3352858,60.0
1023,412306,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.1287391,74.2883536,62.0
1024,412306,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.1287391,74.2883536,62.0
1033,412401,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.131310100000004,73.9418603,68.0
1034,412401,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.131310100000004,73.9418603,68.0
1035,412402,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.9959677,73.78308609999998,53.0
1036,412402,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.9959677,73.78308609999998,53.0
1041,412405,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.9738751,73.9888797,52.0
1042,412405,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.9738751,73.9888797,52.0
1043,412406,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.9695688,74.0711359,54.0
1044,412406,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.9695688,74.0711359,54.0
1045,412408,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.0463199,73.83014370000002,58.0
1046,412408,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.0463199,73.83014370000002,58.0
1047,412409,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.300323100000004,73.95949399999998,87.0
1048,412409,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.300323100000004,73.95949399999998,87.0
1049,412410,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.1006208,74.1827119,72.0
1050,412410,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.1006208,74.1827119,72.0
1051,412411,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.1678852,74.1592278,78.0
1052,412411,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.1678852,74.1592278,78.0
